entered training run...


============================================
Discrete Steps until Terminal State: 1000
Continuous Steps until Terminal State: 1000
3.7.2 | packaged by conda-forge | (default, Mar 20 2019, 01:46:52) 
[GCC 7.3.0]
/lustre/fs1/home/amckinney/Local_Neuro_Symbolic
Bounding Persist: <class 'bool'>, True
Bounding Distance: <class 'int'>, 3
Terminal Reward: <class 'int'>, 10
Sequence Level: <class 'int'>, 2
Dungeon Quest LTLF: F(dragon) & (!sword U key) & (!dragon U sword)
============================================


imported all dependencies, checking for cuda

==============
Cuda detected!
==============

Done with DFA conversion
[<discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2aefd48dd2b0>, <discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2aefd48dd2e8>, <discrete.lib.automaton.mine_aps.MineInfoAutAP object at 0x2aefd48dd320>]


============================================
Training Teacher / Independent DDPG Agent
Max Training Steps: 400000
LTLF: F(dragon) & (!sword U key) & (!dragon U sword)
============================================


Starting training at: 2024-07-30 16:25:47
Env Config: EnvConfig(env_name='MineWorldEnv-v1', kwargs={'config': <discrete.lib.env.mineworldenv.MineWorldConfig object at 0x2aefd48dd1d0>}, wrapper_cls=<class 'discrete.lib.env.rew_every_step.RewEveryStep'>, wrapper_kwargs={'rew_per_step': -0.1})

Env Name: MineWorldEnv-v1
Observation Space: Box(16,)
Automaton Num States: 5
Action Space: Box(1,)
input shape: (16,)
Agent Name: DDPG Agent
NOT Loading from checkpoint
input shape: (16,)
input shape: (16,)
Actor Learning Rate: 0.0001
Critic Learning Rate: 0.001
Output Directory Already Exists
Completed Steps:   180000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   181000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   182000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   183000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   184000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   185000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   186000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   187000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   188000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   189000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   190000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   191000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   192000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   193000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   194000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   195000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   196000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   197000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   198000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   199000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   200000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   201000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   202000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   203000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   204000 || Avg Steps:  980 || Avg Rew: -0.200
Completed Steps:   205000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   206000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   207000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   208000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   209000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   210000 || Avg Steps:  990 || Avg Rew: -0.200
Completed Steps:   211000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   212000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   213000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   214000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   215000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   216000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   217000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   218000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   219000 || Avg Steps: 1000 || Avg Rew: -0.200
Completed Steps:   220000 || Avg Steps: 1000 || Avg Rew: -0.200
