entered training run...


============================================
Discrete Steps until Terminal State: 1000
Continuous Steps until Terminal State: 1000
3.7.2 | packaged by conda-forge | (default, Mar 20 2019, 01:46:52) 
[GCC 7.3.0]
/lustre/fs1/home/amckinney/Local_Neuro_Symbolic
Bounding Persist: <class 'bool'>, True
Bounding Distance: <class 'int'>, 3
Terminal Reward: <class 'int'>, 10
Sequence Level: <class 'int'>, 1
Dungeon Quest LTLF: F(sword) & (!sword U key)
============================================


imported all dependencies, checking for cuda

==============
Cuda detected!
==============

Done with DFA conversion
[<discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2b171000cbe0>, <discrete.lib.automaton.mine_aps.MineInventoryAP object at 0x2b171000cc18>]


============================================
Training Teacher / Independent DDPG Agent
Max Training Steps: 1000000
LTLF: F(sword) & (!sword U key)
============================================


Starting training at: 2024-07-23 22:23:07
Env Config: EnvConfig(env_name='MineWorldEnv-v1', kwargs={'config': <discrete.lib.env.mineworldenv.MineWorldConfig object at 0x2b171000cb70>}, wrapper_cls=<class 'discrete.lib.env.rew_every_step.RewEveryStep'>, wrapper_kwargs={'rew_per_step': -0.1})

Env Name: MineWorldEnv-v1
Observation Space: Box(13,)
Automaton Num States: 4
Action Space: Box(1,)
input shape: (13,)
Agent Name: DDPG Agent
NOT Loading from checkpoint
input shape: (13,)
input shape: (13,)
Actor Learning Rate: 0.0001
Critic Learning Rate: 0.001
Completed Steps:   185000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   186000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   187000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   188000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   189000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   190000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   191000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   192000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   193000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   194000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   195000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   196000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   197000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   198000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   199000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   200000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   201000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   202000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   203000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   204000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   205000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   206000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   207000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   208000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   209000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   210000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   211000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   212000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   213000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   214000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   215000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   216000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   217000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   218000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   219000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   220000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   221000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   222000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   223000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   224000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   225000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   226000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   227000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   228000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   229000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   230000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   231000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   232000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   233000 || Avg Steps:  990 || Avg Rew: -0.099
Completed Steps:   234000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   235000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   236000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   237000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   238000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   239000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   240000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   241000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   242000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   243000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   244000 || Avg Steps: 1000 || Avg Rew: -0.099
Completed Steps:   245000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   246000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   247000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   248000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   249000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   250000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   251000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   252000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   253000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   254000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   255000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   256000 || Avg Steps:  990 || Avg Rew: -0.100
Completed Steps:   257000 || Avg Steps: 1000 || Avg Rew: -0.100
Completed Steps:   258000 || Avg Steps: 1000 || Avg Rew: -0.100
